i want to fly from baltimore to dallas round trip .	O O O O O B-city_name O B-city_name B-round_trip I-round_trip O	ROOT ( atis_flight ( fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) ) round_trip ( $round_trip ) ) )	10 10 10 10 10 10 10 10 5 10 10 10 10 10 10 7 10 10 10 10 8 10 10 10
show me the flights arriving on baltimore on june fourteenth .	O O O O O O B-city_name O B-month_name B-day_number O	ROOT ( atis_flight ( toloc ( city_name ( $city_name ) ) arrive_date ( month_name ( $month_name ) day_number ( $day_number ) ) ) )	10 10 10 10 10 10 10 10 6 10 10 10 10 10 10 8 10 10 10 9 10 10 10 10
what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm .	O O O O O O O B-city_name I-city_name O O B-city_name O B-city_name O O B-time_relative B-time I-time O	ROOT ( atis_flight ( fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) ) stoploc ( city_name ( $city_name ) ) arrive_time ( time_relative ( $time_relative ) time ( $time ) ) ) )	19 19 19 19 19 19 19 19 7 19 19 19 19 19 19 11 19 19 19 19 19 19 13 19 19 19 19 19 19 16 19 19 19 17 19 19 19 19
which airlines fly from boston to washington dc via other cities .	O O O O B-city_name O B-city_name B-state_code O O O O	ROOT ( atis_airline ( fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) state_code ( $state_code ) ) ) )	11 11 11 11 11 11 11 11 4 11 11 11 11 11 11 6 11 11 11 7 11 11 11 11
i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out .	O O O O O O B-city_name O B-city_name I-city_name O O O B-city_name I-city_name O O B-meal_description O O O O O O O O	ROOT ( atis_flight ( fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) ) stoploc ( city_name ( $city_name ) ) meal_description ( $meal_description ) ) )	25 25 25 25 25 25 25 25 6 25 25 25 25 25 25 8 25 25 25 25 25 25 13 25 25 25 25 17 25 25 25
okay and then from pittsburgh i'd like to travel to atlanta on september fourth .	O O O O B-city_name O O O O O B-city_name O B-month_name B-day_number O	ROOT ( atis_flight ( fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) ) depart_date ( month_name ( $month_name ) day_number ( $day_number ) ) ) )	14 14 14 14 14 14 14 14 4 14 14 14 14 14 14 10 14 14 14 14 14 14 12 14 14 14 13 14 14 14 14
show me all the flights from philadelphia to cincinnati .	O O O O O O B-city_name O B-city_name O	ROOT ( atis_flight ( fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) ) ) )	9 9 9 9 9 9 9 9 6 9 9 9 9 9 9 8 9 9 9 9
okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available .	O O O O O O B-airline_name I-airline_name O B-city_name O B-city_name I-city_name O O B-period_of_day O O O	ROOT ( atis_flight ( airline_name ( $airline_name ) fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) ) depart_time ( period_of_day ( $period_of_day ) ) ) )	18 18 18 18 18 18 6 18 18 18 18 18 9 18 18 18 18 18 18 11 18 18 18 18 18 18 15 18 18 18 18
on tuesday what flights leave phoenix to st. paul minnesota and leave after noon .	O B-day_name O O O B-city_name O B-city_name I-city_name B-state_name O O B-time_relative B-time O	ROOT ( atis_flight ( depart_date ( day_name ( $day_name ) ) fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) state_name ( $state_name ) ) depart_time ( time_relative ( $time_relative ) time ( $time ) ) ) )	14 14 14 14 14 14 14 14 1 14 14 14 14 14 14 5 14 14 14 14 14 14 7 14 14 14 9 14 14 14 14 14 14 12 14 14 14 13 14 14 14 14
american flights from chicago to los angeles morning .	B-airline_name O O B-city_name O B-city_name I-city_name B-period_of_day O	ROOT ( atis_flight ( airline_name ( $airline_name ) fromloc ( city_name ( $city_name ) ) toloc ( city_name ( $city_name ) ) depart_time ( period_of_day ( $period_of_day ) ) ) )	8 8 8 8 8 8 0 8 8 8 8 8 3 8 8 8 8 8 8 5 8 8 8 8 8 8 7 8 8 8 8
